technique,question_id,rank,store_score,cosine_sim,chunk_len,source_file,expected_source_file,recall_hit,latency_ms,preview
token,q1,1,0.772856,0.774124,1222,graduate_policies_procedures.txt,grades_policy.txt,False,9.141,"Policy S17-13. Because graduate students are required to maintain a minimum cumulative GPA of 3.0, all finishing graduate students would receive honors; thus th"
token,q1,2,0.766352,0.750326,1172,graduate_policies_procedures.txt,grades_policy.txt,False,9.141,"disqualification. To avoid disqualification, at least one graded course must be taken each Spring and Fall semester, while on probation. The student remains on "
token,q1,3,0.74675,0.765844,1186,undergraduate_policies_procedures.txt,grades_policy.txt,False,9.141,"to Undergraduate Advising and Success Center (UASC), and may do academic work to be reinstated to the major, or change to another major for which they are quali"
token,q1,4,0.733287,0.745556,1183,undergraduate_policies_procedures.txt,grades_policy.txt,False,9.141,falls below 2.0. Freshmen on Academic Probation are allowed a second consecutive semester of probation if their SJSU cumulative GPA is in the range 1.50 to 1.99
token,q1,5,0.706342,0.694962,1309,graduate_policies_procedures.txt,grades_policy.txt,False,9.141,to achieve a set of academic standards of the department.  Academic Disqualification  A graduate student who is on academic probation is academically disqualifi
token,q2,1,0.764482,0.761695,1300,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,8.289,outlined in the Graduation Requirements section of the Graduate Policies and Procedures.  MS - Applied Data Intelligence Graduation Requirements  The program co
token,q2,2,0.743648,0.706039,1241,data_analytics_ms_program.txt,data_analytics_ms_program.txt,True,8.289,"GPA, and culminating experience requirements as outlined in the Graduation Requirements section of the Graduate Policies and Procedures.  MS - Data Analytics Gr"
token,q2,3,0.719968,0.716676,1366,data_analytics_ms_program.txt,data_analytics_ms_program.txt,True,8.289,"standing, the successful applicant must have earned a bachelor's degree from a regionally accredited institution and achieved a GPA of at least 3.0 (on a 4.0 sc"
token,q2,4,0.695243,0.677449,1444,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,8.289,can be admitted to classified standing if the applicant has a bachelor's degree from an accredited institution with a grade point average of 3.0 or better. In a
token,q2,5,0.674693,0.683014,1141,data_science_ms_program.txt,data_analytics_ms_program.txt,True,8.289,at SJSU).  Applicants from countries in which the native language is not English must submit TOEFL scores. Minimum TOEFL scores acceptable for admission are 575
token,q3,1,0.675474,0.636141,1326,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,7.509,"use, and evaluate applied data intelligence technologies and tools. Apply Necessary Skills Apply effective oral and written communication skills necessary to pr"
token,q3,2,0.667953,0.644114,1434,applied_data_intelligence_ms_program.txt,applied_data_intelligence_ms_program.txt,True,7.509,"Program: Applied Data Intelligence, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=17&poid=13784  Applied Data Intel"
token,q3,3,0.666494,0.653941,1362,data_science_ms_program.txt,applied_data_intelligence_ms_program.txt,True,7.509,"Program: Data Science, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=17&poid=14075  Data Science, MS  Admissions Re"
token,q3,4,0.660618,0.636305,1005,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,7.509,Program Frequently Asked Questions Want to learn more about our MS in Applied Data Intelligence degree? Explore our FAQs page to get detailed information about 
token,q3,5,0.656676,0.622502,1393,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,7.509,"data into actionable insights, and step confidently into advanced roles across technology, business and research. Apply Now Request Information Why Earn Your Ap"
token,q4,1,0.703974,0.758438,1275,registration_and_attendance.txt,registration_and_attendance.txt,True,6.845,department that offers the course. Permission numbers become 'used' only after a successful enrollment request.  Adding Classes on the First Day of Instruction 
token,q4,2,0.646388,0.638318,1071,adding_dropping_classes.txt,registration_and_attendance.txt,True,6.845,the MSIDT Candidacy Approval Form Application for Award of Graduate Degree Awards for Graduating Students Onsite Graduation Ceremony Virtual Graduation Celebrat
token,q4,3,0.618498,0.60606,1156,registration_and_attendance.txt,registration_and_attendance.txt,True,6.845,which begin the first day after instruction ends). Students in the Step to College programs are not required to pay the late registration fee.  Waitlisting  SJS
token,q4,4,0.600085,0.578474,1342,registration_and_attendance.txt,registration_and_attendance.txt,True,6.845,who receive financial aid must consult with Financial Aid prior to withdrawing regarding any required return or repayment of grant or loan assistance.  Restrict
token,q4,5,0.565728,0.518397,1265,registration_and_attendance.txt,registration_and_attendance.txt,True,6.845,"and units earned during the semester will be disregarded when calculating GPAs for graduation, but the courses and grades will still appear on the transcript.  "
token,q5,1,0.543922,0.553649,881,academic_calendar.txt,academic_calendar.txt,True,7.779,Calendar - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4974  Calendar  2022-2023 Academic Year  Academic Year: Augus
token,q5,2,0.533217,0.533889,1071,adding_dropping_classes.txt,academic_calendar.txt,True,7.779,the MSIDT Candidacy Approval Form Application for Award of Graduate Degree Awards for Graduating Students Onsite Graduation Ceremony Virtual Graduation Celebrat
token,q5,3,0.528982,0.495166,820,adding_dropping_classes.txt,academic_calendar.txt,True,7.779,"and for dates, read our iSchool Registration Process . Late Registration Late Registration begins on the first official day of the semester. For Regular Session"
token,q5,4,0.481679,0.4455,1265,registration_and_attendance.txt,academic_calendar.txt,True,7.779,"and units earned during the semester will be disregarded when calculating GPAs for graduation, but the courses and grades will still appear on the transcript.  "
token,q5,5,0.471525,0.434102,1368,registration_and_attendance.txt,academic_calendar.txt,True,7.779,appointments are not mailed or emailed to students.  Create a registration worksheet before logging on  Build a sample schedule and have alternate schedules or 
semantic,q1,1,0.739526,0.80019,421,registration_and_attendance.txt,grades_policy.txt,False,5.467,"Probation Holds: undergraduates with SJSU cumulative GPA below 2.00 (3.00 for graduate students), or reinstated on probation status, must see their major adviso"
semantic,q1,2,0.73087,0.732879,4377,graduate_policies_procedures.txt,grades_policy.txt,False,5.467,"If letters of permission are not submitted with the final copies of the dissertation, the College of Graduate Studies will not approve the dissertation.  Latin "
semantic,q1,3,0.657926,0.669747,4330,registration_and_attendance.txt,grades_policy.txt,False,5.467,It is the student's responsibility to make sure classes are dropped.  Late Drop Petitions  Students may petition to Late Drop for serious and compelling reasons
semantic,q1,4,0.645642,0.605537,3974,undergraduate_policies_procedures.txt,grades_policy.txt,False,5.467,Undergraduate Policies & Procedures - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4884  Undergraduate Policies & Pro
semantic,q1,5,0.628175,0.626905,1580,graduate_policies_procedures.txt,grades_policy.txt,False,5.467,"The courses must amount to a minimum of 6 and maximum of 9 units per semester, and all must be taken in a single semester. They must be letter graded, upper div"
semantic,q2,1,0.706628,0.659091,3254,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,5.444,"These specializations will be offered according to industry trends, student demands, and resource availability.  Graduation Writing Assessment Requirement  At S"
semantic,q2,2,0.701885,0.715758,6765,graduate_policies_procedures.txt,data_analytics_ms_program.txt,True,5.444,Details on the RP (Report in Progress) administrative grading symbol may be found in University Policy S09-7.  Graduation Writing Assessment Requirement (GWAR) 
semantic,q2,3,0.683125,0.684665,2770,data_analytics_ms_program.txt,data_analytics_ms_program.txt,True,5.444,"Students can be admitted in either classified or conditionally classified standing. To be admitted to classified standing, the successful applicant must have ea"
semantic,q2,4,0.675617,0.670357,3421,msda_curriculum_courses.txt,data_analytics_ms_program.txt,True,5.444,Entertainment Waymo World Bank Learn more about what alumni from SJSU’s MS in Applied Data Intelligence - formerly the MS in Data Analytics - have accomplished.
semantic,q2,5,0.66789,0.64384,1733,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,5.444,An applicant can be admitted in either classified or conditionally classified standing.  An applicant can be admitted to classified standing if the applicant ha
semantic,q3,1,0.668653,0.6847,3777,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,5.38,MS in Applied Data Intelligence | Department of Applied Data Science Skip to main content Master of Science in Applied Data Intelligence Transform Data Into Imp
semantic,q3,2,0.667953,0.640085,2423,applied_data_intelligence_ms_program.txt,applied_data_intelligence_ms_program.txt,True,5.38,"Program: Applied Data Intelligence, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=17&poid=13784  Applied Data Intel"
semantic,q3,3,0.659107,0.655045,1249,data_science_ms_program.txt,applied_data_intelligence_ms_program.txt,True,5.38,"Program: Data Science, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=17&poid=14075  Data Science, MS  Admissions Re"
semantic,q3,4,0.656215,0.637509,3421,msda_curriculum_courses.txt,applied_data_intelligence_ms_program.txt,True,5.38,Entertainment Waymo World Bank Learn more about what alumni from SJSU’s MS in Applied Data Intelligence - formerly the MS in Data Analytics - have accomplished.
semantic,q3,5,0.626916,0.602787,2397,data_analytics_ms_program.txt,applied_data_intelligence_ms_program.txt,True,5.38,"Program: Data Analytics, MS - San José State University Source: https://catalog.sjsu.edu/preview_program.php?catoid=13&poid=7675  Data Analytics, MS  Admissions"
semantic,q4,1,0.622555,0.576811,1339,adding_dropping_classes.txt,registration_and_attendance.txt,True,4.754,"For Special Session students, the last day to add is 14 days after the first day of the semester. Special Session students should abide by the drop deadline giv"
semantic,q4,2,0.562771,0.588665,924,registration_and_attendance.txt,registration_and_attendance.txt,True,4.754,Registration and Attendance - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4897  Registration and Attendance  SJSU ID
semantic,q4,3,0.549594,0.51559,4330,registration_and_attendance.txt,registration_and_attendance.txt,True,4.754,It is the student's responsibility to make sure classes are dropped.  Late Drop Petitions  Students may petition to Late Drop for serious and compelling reasons
semantic,q4,4,0.482015,0.447904,421,registration_and_attendance.txt,registration_and_attendance.txt,True,4.754,"Probation Holds: undergraduates with SJSU cumulative GPA below 2.00 (3.00 for graduate students), or reinstated on probation status, must see their major adviso"
semantic,q4,5,0.479821,0.47807,4723,graduate_policies_procedures.txt,registration_and_attendance.txt,True,4.754,"Thus, no more than seven years may elapse between the time the first course in a graduate program is completed and the time the last course in the program is co"
semantic,q5,1,0.538627,0.540891,933,academic_calendar.txt,academic_calendar.txt,True,5.181,Calendar - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4974  Calendar  2022-2023 Academic Year  Academic Year: Augus
semantic,q5,2,0.507054,0.459179,1339,adding_dropping_classes.txt,academic_calendar.txt,True,5.181,"For Special Session students, the last day to add is 14 days after the first day of the semester. Special Session students should abide by the drop deadline giv"
semantic,q5,3,0.474009,0.50115,924,registration_and_attendance.txt,academic_calendar.txt,True,5.181,Registration and Attendance - San José State University Source: https://catalog.sjsu.edu/content.php?catoid=13&navoid=4897  Registration and Attendance  SJSU ID
semantic,q5,4,0.468802,0.4424,1893,undergraduate_policies_procedures.txt,academic_calendar.txt,True,5.181,Credit earned may be applied to residence unit requirements for previously matriculated students.  Readmission - Former Students Returning (FSR)  Readmission is
semantic,q5,5,0.463628,0.448554,3421,msda_curriculum_courses.txt,academic_calendar.txt,True,5.181,Entertainment Waymo World Bank Learn more about what alumni from SJSU’s MS in Applied Data Intelligence - formerly the MS in Data Analytics - have accomplished.
sentence_window,q1,1,0.834585,0.859025,432,graduate_policies_procedures.txt,grades_policy.txt,False,16.929,Academic Standing: Probation | Disqualification | Discontinuation | Appeal | Reinstatement | Readmission  Academic Probation  Graduate students enrolled in a de
sentence_window,q1,2,0.781998,0.856874,160,undergraduate_policies_procedures.txt,grades_policy.txt,False,16.929,Students will remain on academic probation until they return to good academic standing (SJSU cumulative GPA greater than or equal to 2.0) or are disqualified.  
sentence_window,q1,3,0.771021,0.784145,146,undergraduate_policies_procedures.txt,grades_policy.txt,False,16.929,Freshmen on Academic Probation are allowed a second consecutive semester of probation if their SJSU cumulative GPA is in the range 1.50 to 1.99.  
sentence_window,q1,4,0.751065,0.812898,98,graduate_policies_procedures.txt,grades_policy.txt,False,16.929,Probation is cleared when the SJSU cumulative GPA rises to 3.0 or better in any subsequent term.  
sentence_window,q1,5,0.749936,0.812345,241,registration_and_attendance.txt,grades_policy.txt,False,16.929,"Probation Holds: undergraduates with SJSU cumulative GPA below 2.00 (3.00 for graduate students), or reinstated on probation status, must see their major adviso"
sentence_window,q2,1,0.833694,0.794166,126,data_analytics_ms_program.txt,data_analytics_ms_program.txt,True,16.43,"Graduation Writing Assessment Requirement  At SJSU, students must pass the Graduation Writing Assessment Requirement (GWAR).  "
sentence_window,q2,2,0.797179,0.794166,126,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,16.43,"Graduation Writing Assessment Requirement  At SJSU, students must pass the Graduation Writing Assessment Requirement (GWAR).  "
sentence_window,q2,3,0.776948,0.813284,231,applied_data_intelligence_ms_program.txt,data_analytics_ms_program.txt,True,16.43,"Candidacy includes successful completion of the Graduation Writing Assessment Requirement (GWAR), MSADI program course requirements and the links to specializat"
sentence_window,q2,4,0.757023,0.694531,125,data_analytics_ms_program.txt,data_analytics_ms_program.txt,True,16.43,"Candidacy includes successful completion of the Graduation Writing Assessment Requirement (GWAR), described in this catalog. "
sentence_window,q2,5,0.738763,0.740701,212,graduate_policies_procedures.txt,data_analytics_ms_program.txt,True,16.43,Graduation Writing Assessment Requirement (GWAR)  The CSU Graduation Writing Assessment Requirement (GWAR) states that all students must demonstrate competency 
