run_index,temperature,tags,summary,reviewer_changed,planner_latency_ms,reviewer_latency_ms,total_latency_ms,error
1,0.7,"data structure implementation|algorithm design techniques|python implementation","Course covers data structures, algorithm techniques, and Python implementation with Big-O analysis.",False,35538.1,34275.1,69813.3,""
2,0.7,"data structures fundamentals|algorithm design techniques|python implementation","This course teaches data structures and algorithms, focusing on implementation in Python and complexity analysis using Big-O notation.",False,19245.6,30375.3,49620.9,""
3,0.7,"data structures implementation|algorithm design techniques|big o complexity analysis","Course covers data structures and algorithms, their implementation in Python, and complexity analysis.",False,57082.7,24479.4,81562.1,""
4,0.7,"data structure implementation|algorithm design techniques|time and space complexity","This course teaches data structures and algorithms, focusing on Python implementation and Big-O complexity analysis.",True,68194.6,45108.8,113303.4,""
5,0.7,"data structure implementation|algorithm design techniques|time complexity analysis","This course covers data structures and algorithms, including implementation in Python and analysis of time complexity.",False,20371.9,25881.1,46253.0,""
6,0.7,"data structures implementation|algorithm design techniques|big o complexity analysis","This course covers data structures, algorithm design, and complexity analysis with Python implementation.",False,56348.9,20459.5,76808.4,""
7,0.7,"data structure implementation|algorithm design techniques|time complexity analysis","This course teaches data structures and algorithms, focusing on implementation in Python and complexity analysis using Big-O notation.",False,27304.5,32839.4,60143.9,""
8,0.7,"linked list implementation|dynamic programming methods|big-o complexity analysis","This course teaches data structures and algorithms, focusing on Python implementation and Big-O complexity analysis.",True,40718.0,36351.9,77070.0,""
9,0.7,"data structures implementation|algorithm design techniques|time complexity analysis","This course teaches data structures and algorithms, focusing on implementation in Python and complexity analysis.",False,61312.4,38277.3,99589.6,""
10,0.7,"data structures implementation|algorithm design techniques|time complexity analysis","This course teaches data structures and algorithms, focusing on Python implementation and Big-O complexity analysis.",True,24894.8,35920.5,60815.3,""
11,0.7,"data structures implementation|algorithm design techniques|big o notation","Course covers data structures, algorithm design techniques, and Big-O complexity analysis with Python implementation.",False,43491.4,38146.2,81637.5,""
12,0.7,"data structures implementation|algorithm design techniques|time complexity analysis","Course covers data structures and algorithms, including Python implementation, time and space complexity analysis using Big-O notation.",True,57881.7,35773.9,93655.6,""
13,0.7,"data structures implementation|algorithm analysis|python programming","This course covers data structures and algorithms, focusing on Python implementation and complexity analysis.",True,45204.6,38904.3,84108.9,""
14,0.7,"data structures fundamentals|algorithm design techniques|python implementation","This course teaches data structures and algorithms, including implementation in Python and complexity analysis.",False,48719.4,40809.2,89528.5,""
15,0.7,"data structures implementation|algorithm design techniques|time complexity analysis","This course teaches data structures and algorithms, focusing on implementation and complexity analysis using Python.",False,26868.3,27477.3,54345.6,""
16,0.7,"data structures implementation|algorithm design techniques|time complexity analysis","Course covers data structures and algorithms with Python implementation and complexity analysis.",False,53763.7,21655.7,75419.4,""
17,0.7,"data structure implementation|algorithm design techniques|big o analysis","This course teaches data structures and algorithms, focusing on implementation in Python and complexity analysis using Big-O notation.",False,47734.7,26392.3,74127.0,""
18,0.7,"data structures implementation|algorithm design techniques|big o complexity analysis","course covers data structures and algorithms, implementation in Python, and complexity analysis.",False,72632.8,20089.9,92722.8,""
19,0.7,"data structure implementation|algorithm design techniques|complexity analysis","Course covers data structures and algorithms, their Python implementation, and time/space complexity analysis using Big-O notation.",False,55604.6,21870.2,77474.8,""
20,0.7,"data structures fundamentals|algorithm design techniques|python implementation","This course teaches data structures and algorithms, focusing on Python implementation and complexity analysis.",True,46643.9,55603.7,102247.7,""
1,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,88860.6,33331.0,122191.6,""
2,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,87662.0,29756.3,117418.3,""
3,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,84983.8,30471.6,115455.4,""
4,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,86319.5,28704.0,115023.5,""
5,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,92328.2,31247.3,123575.4,""
6,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,88284.6,30632.1,118916.7,""
7,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,87746.9,30353.7,118100.7,""
8,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,88640.8,30341.0,118981.8,""
9,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,94788.6,36403.2,131191.8,""
10,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,96038.2,32226.5,128264.8,""
11,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,88027.5,30267.8,118295.2,""
12,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,84525.1,29414.9,113940.1,""
13,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,85106.0,29486.4,114592.4,""
14,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,86272.4,29545.0,115817.5,""
15,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,87110.3,31025.5,118135.8,""
16,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,101974.4,33869.0,135843.4,""
17,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,93012.1,30075.0,123087.0,""
18,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,99390.7,32484.4,131875.1,""
19,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,99708.8,38888.1,138597.0,""
20,0.0,"data structures implementation|algorithm design techniques|big o notation","This course covers data structures and algorithms, including Python implementation and Big-O complexity analysis.",False,97590.6,35384.6,132975.3,""
